"타임스탬프","1. 귀하는 학생입니까?","1-1. 학생이라면 월 근로소득이 있습니까?","2. 월 근로소득이 얼마나 됩니까?","3. 한달에 지출이 얼마입니까?","4. 귀하는 자기 명의로 된 신용카드가 있습니까?","4-1. 신용카드가 있다면 한달에 얼마씁니까?","4-2. 없다면 이유는 무엇입니까?","5. 귀하는 대출을 받은 적 있습니까?","5-1. 있다면 어떤 대출을 받았습니까?","5-2. 없다면 이유는 무엇입니까?","6. 귀하는 MZ세대(금융 소외계층) 맞춤형 금융 상품이 있다면 사용하실 의향이 있습니까?"
"2021/11/03 11:30:52 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","조건 부족","예 (5-1번으로 이동)","학자금 대출;전월세 대출;생활비 대출","조건 부족","예"
"2021/11/03 11:31:24 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:33:41 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:38:35 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","예 (4-1번으로 이동)","50만원 이하","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:38:53 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","아니오 (4-2번으로 이동)","","과소비","예 (5-1번으로 이동)","학자금 대출","","아니오"
"2021/11/03 11:38:57 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","200만원 초과","예 (4-1번으로 이동)","200만원 초과","","예 (5-1번으로 이동)","전월세 대출;신용 대출","","예"
"2021/11/03 11:39:07 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","200만원 이하","예 (4-1번으로 이동)","200만원 이하","","예 (5-1번으로 이동)","전월세 대출","","아니오"
"2021/11/03 11:40:48 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:40:51 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","200만원 이하","아니오 (4-2번으로 이동)","","","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:41:20 오후 GMT+9","예 (1-1번으로 이동)","아니오","100만원 이하","30만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:41:33 오후 GMT+9","아니오 (2번으로 이동)","","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
"2021/11/03 11:42:07 오후 GMT+9","예 (1-1번으로 이동)","예","100만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:42:12 오후 GMT+9","예 (1-1번으로 이동)","예","50만원 이하","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","예"
"2021/11/03 11:42:27 오후 GMT+9","아니오 (2번으로 이동)","","200만원 초과","100만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","예 (5-1번으로 이동)","전월세 대출","","아니오"
"2021/11/03 11:42:48 오후 GMT+9","예 (1-1번으로 이동)","아니오","30만원 이하","50만원 이하","아니오 (4-2번으로 이동)","","필요하다 생각 안해서","아니오 (5-2번으로 이동)","","필요하지 않아서","아니오"
